#{"t_start": 1683691821.7579443, "env_id": "TurtleBot3tentabot_drl-v00"}
r,l,t
38.627767,83,16425.490443
38.583527,133,16450.317404
39.026952,119,16473.569684
38.71519,153,16501.885098
38.977203,103,16521.558157
39.250861,142,16547.907922
39.664414,131,16572.385832
39.266131,92,16589.775663
39.146677,105,16609.869488
39.572367,135,16635.028665
-4.552039,38,16643.279711
39.147598,96,16662.535434
38.849618,192,16698.373227
39.258405,110,16719.020765
39.008307,93,16737.016128
38.28283,95,16755.295622
38.528462,117,16777.230348
39.042459,102,16796.730582
-6.168763,22,16802.279581
39.260611,134,16827.293494
39.0136,116,16848.981173
38.421804,170,16881.20064
39.398087,100,16900.185814
39.078432,102,16919.398356
-4.49484,62,16931.912997
39.225388,97,16950.180295
38.950464,124,16973.562296
38.722727,147,17000.942352
-1.668098,66,17014.181545
39.361094,168,17046.333737
-2.102501,74,17060.847507
38.410083,103,17080.206305
-1.457162,130,17104.626999
-3.672981,62,17117.278336
39.474908,118,17139.380281
39.568697,159,17168.903681
38.767516,146,17196.050355
38.537413,196,17233.153501
38.519349,115,17254.668684
38.317563,91,17272.156528
39.28224,169,17303.178162
38.798795,93,17320.838893
-8.657072,23,17326.237206
38.891935,138,17351.989076
-4.023534,81,17367.882851
-7.331261,33,17375.226556
39.435154,154,17403.504972
-3.887243,42,17412.630304
39.323732,178,17446.486513
30,1,17448.087846
-1.852582,87,17465.279525
-0.871627,76,17480.022067
-2.913738,64,17492.591735
39.824303,155,17521.186625
38.328069,128,17545.233042
39.376481,128,17569.469098
38.757232,110,17590.171818
39.629788,242,17635.330292
-4.341035,37,17643.200857
39.524253,109,17663.959766
39.500452,190,17699.065646
39.7904,106,17718.973183
38.875749,121,17741.72026
39.45484,110,17762.323908
39.008727,94,17780.340146
-1.925364,69,17794.337527
39.134749,128,17819.116242
-2.570445,122,17842.340304
39.50882,108,17862.737733
39.513167,186,17896.730712
39.848526,110,17917.498328
39.551404,110,17938.419957
-4.117866,113,17959.890325
38.845799,78,17975.066509
39.550114,98,17994.675736
39.364244,96,18012.764957
38.901844,104,18032.543562
39.463371,93,18050.489293
39.982691,101,18069.640301
-7.344824,22,18074.978356
39.150146,120,18097.369041
38.741439,103,18116.781889
-6.114074,48,18126.721381
-3.238721,79,18142.22746
38.390702,86,18158.8711
-1.268242,127,18182.568855
39.473471,94,18201.323267
-4.362172,49,18211.320056
-7.536788,38,18219.451268
-2.571951,64,18232.22858
39.697965,118,18254.76638
38.675718,113,18276.254343
39.077176,99,18295.327749
38.736947,100,18314.38331
38.524786,81,18330.16641
39.472208,84,18346.355656
39.801452,123,18369.655447
-8.861318,35,18377.250951
38.92815,95,18396.238365
39.575941,104,18416.332388
-4.119456,63,18428.934462
38.373098,85,18445.397493
-3.045827,68,18459.034343
39.175632,90,18476.277647
38.546937,110,18497.028441
39.366221,94,18514.943616
39.616058,116,18536.742626
38.500897,229,18579.368454
38.90883,90,18596.861086
38.91642,89,18614.247719
39.110636,99,18632.978751
39.205115,101,18652.16278
39.00203,107,18672.355573
39.461651,99,18691.405658
38.7113,100,18710.383651
39.017146,82,18726.144177
-6.916104,38,18734.055434
39.269173,103,18753.500761
39.203493,98,18773.150022
-0.528773,95,18791.638322
38.585519,91,18809.310877
-3.09962,55,18820.682634
39.304907,127,18844.428176
38.969184,92,18862.030433
-8.725747,29,18868.42625
-3.248796,134,18893.34552
38.991219,109,18913.894055
40.02908,173,18945.780825
39.072103,82,18962.947962
-0.997555,85,18979.459475
39.593864,95,18997.626873
39.333152,93,19015.570801
-1.577342,65,19028.577142
39.247061,92,19046.105251
38.939204,118,19068.683861
39.442625,99,19087.600967
39.256823,99,19106.439423
39.723573,150,19134.221234
